Age,Farmsize,TechEngagement,RiskPref,DSTExperience,AdvisorExperience,True_DeltaPerformance_Q0,True_DeltaPerformance_Q1,True_DeltaPerformance_Q2,AIA_1,AIA_10,AIA_11,AIA_12,AIA_13,AIA_14,AIA_15,AIA_16,AIA_2,AIA_3,AIA_4,AIA_5,AIA_6,AIA_7,AIA_8,AIA_9,BI_1,BI_2,BI_3,Delta_WTP_Q0_relTo90,Delta_WTP_Q1_relTo90,Delta_WTP_Q2_relTo90,EE_1,EE_2,EE_3,PE_1,PE_2,PE_3,PE_4,SI_1,SI_2
-0.8282825737446106,0.8028544435251357,1.1001501653075145,0.2356689594948024,-1.1575517349585305,-1.5571247192614455,-0.1,0.0,-0.1,3,3,4,3,2,2,3,4,1,2,5,3,0,0,3,2,4,0,6,-0.15283506,-0.038479947,0.09010764,4,1,2,3,4,2,5,3,1
0.48435512131601344,0.4488621844752522,-0.5177177248505951,1.5027063761335253,-0.27527144916696766,-1.5571247192614455,0.05,-0.1,0.1,1,2,1,1,5,3,3,3,0,6,1,0,0,4,2,2,3,1,2,-0.24779011,-0.46619767,-0.0559256,3,4,4,4,2,2,1,0,6
0.12326522124116389,0.4488621844752522,-1.057007021569965,-1.3481278113036013,1.0481489795203764,0.15777034600446357,-0.1,-0.1,-0.1,1,0,2,2,0,0,0,1,2,5,5,1,1,0,0,2,6,4,6,-0.05498773,-0.08249139,-0.081791356,2,5,3,6,4,4,4,3,3
0.9687017918133787,-1.3210991107741652,-1.057007021569965,0.5524283136544832,0.16586869372881374,1.4439416449538953,0.0,0.1,0.1,2,0,0,1,0,2,0,1,0,0,4,3,0,0,3,1,3,5,6,0.016248336,0.18588337,0.15766445,6,6,1,6,2,4,6,4,3
-0.5405973464679372,-0.9671068517242818,-1.057007021569965,-0.08109039466487834,-1.1575517349585305,0.15777034600446357,0.05,0.1,0.1,2,1,2,2,3,0,2,4,0,2,3,3,0,0,0,4,2,2,4,0.060985494,0.03206577,-0.051721536,2,4,2,4,4,1,4,2,1
0.7470630591020524,0.0948699254253687,0.5608608685881447,-0.08109039466487834,0.6070088366245951,1.4439416449538953,-0.1,0.1,-0.1,0,2,2,4,4,4,1,3,0,5,1,4,1,1,6,3,4,6,6,-0.15677573,0.11080624,0.14650702,5,2,0,4,4,2,6,2,2
-0.011808279973687011,1.5108389616249027,-1.057007021569965,-1.3481278113036013,-1.5986918778543118,-0.6996771866284909,0.1,0.1,-0.05,3,2,2,0,4,6,5,4,1,2,2,2,1,4,3,5,4,3,6,0.10892447,-0.19270611,-0.08702448,2,3,0,3,2,2,4,0,3
0.606162394361468,0.0948699254253687,0.021571571868774814,-0.7146091029842399,1.489289122416158,0.5864941123209408,-0.05,0.1,0.0,0,0,0,0,4,0,2,0,0,1,1,0,4,3,2,0,6,6,6,-0.13968857,0.3513336,-0.237877,0,3,1,4,2,4,5,0,5
-0.8047372826248328,-0.2591223336245148,1.6394394620268844,-0.3978497488245591,-1.5986918778543118,0.5864941123209408,-0.1,-0.1,0.1,2,3,2,5,4,3,1,2,2,3,5,3,4,6,2,6,4,3,3,-0.024083793,-0.30990934,0.046030175,4,6,0,3,2,1,1,3,4
-0.4308489056539467,-0.6131145926743983,-1.057007021569965,-0.08109039466487834,-1.5986918778543118,-0.27095342031201364,-0.1,0.05,0.0,3,2,3,5,5,2,1,2,2,4,6,0,5,3,0,4,4,4,3,-0.40069956,0.15537976,-0.1349347,3,2,5,5,2,1,6,2,0
-0.22253772019080542,-0.9671068517242818,-1.5962963182893348,1.1859470219738446,1.489289122416158,-1.5571247192614455,-0.1,0.0,-0.1,1,2,2,0,0,2,0,3,1,0,0,1,0,3,1,0,4,6,6,0.056748725,-0.1308239,0.08077339,5,3,3,4,3,6,6,0,2
-0.6177892343677968,0.8028544435251357,0.5608608685881447,-1.3481278113036013,1.0481489795203764,-1.1284009529449681,0.0,-0.1,0.1,3,2,0,0,1,0,2,0,2,0,0,1,0,2,5,2,4,5,6,0.087743126,-0.26818803,0.037216067,0,2,0,4,3,4,6,2,2
